Score,Date,Title,Review
50,19 December 2021,great date night,fantastic food amazing service great size lobster (even for winter) wouldn't have been possible without our lovely and friendly server philipo. will definitely be back!!!
40,5 December 2021,Great burgers and cocktails,"We thoroughly enjoyed our visit here. Nice cocktails to start followed by very tasty burgers, with lobster. Prompt and friendly service. Very handy for Oxford Street. Well worth a visit."
50,26 October 2021,Mrs P,Amazing service! Food was out of this world...the music made it for us... we've eaten around the world...however to find such amazing seafood in our home town..blow us away..xx
50,13 October 2021,Wow,Can I just say how absolutely amazing the food is in this place....wow. Just wow... And can I just add how nice was Giovanni with us. Great customer service!!! Keep up the great work!!!
50,15 September 2021,Amazing experience all round,"Booked for 7:30pm on Monday 13th September, arrived slightly early but was seated promptly. Service was brilliant from the offset - I didn’t get our waiters name but he was faultless. So friendly and accommodating. We ordered the Combo for Two and told him that we had never ordered lobster before, he gave us recommendations and showed us what to do with the lobster when it arrived. The combo arrived on two plates, already split for each person to enjoy. He also said that the lobster roll was his favourite, of which I would agree! It was all delicious though. Would highly recommend."
50,6 June 2021,Great service,"Really wanted to thank to Gabi and Vivian. Great service ,lovley ladies, very professional and we will definitely be coming back ."
50,30 May 2021,Amazing,"Amazing food and service, Giovanni was really helpful and kind with us taking the order. Highly recommended"
50,19 May 2021,Great food and friendly staff!,Great food as in other restaurants of the same family and nice service . As usual we were very satisfied by the restaurant even in this re-opening weird period ! Thanks for the great experience.
50,13 May 2021,Birthday celebrate!!! It had,Birthday celebrate!!! It had been and amazing time. The food was absolutely delicious and the service was amazing too. All staff were very friendly especially GM. All of you made our night out so special!!! Thank you so much.
40,9 November 2020,Well done,"So visited burger and lobster for a meal in early October. during 20-pound meal deal for lobster, fries and salad. It was well worth the price and you need to make the reservation online . The usual price of the lobster set is 30 pounds plus tax would be higher."
